| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|vanillagrad|0.0%|78.76%|
|resnet|vanillagrad|10.0%|76.28%|
|resnet|vanillagrad|20.0%|79.20%|
|resnet|vanillagrad|30.0%|81.40%|
|resnet|vanillagrad|40.0%|81.41%|
|resnet|vanillagrad|50.0%|80.89%|
|resnet|vanillagrad|60.0%|80.19%|
|resnet|vanillagrad|70.0%|77.74%|
|resnet|vanillagrad|80.0%|72.94%|
|resnet|vanillagrad|90.0%|63.25%|
|resnet|inputgrad|0.0%|78.76%|
|resnet|inputgrad|10.0%|81.91%|
|resnet|inputgrad|20.0%|81.43%|
|resnet|inputgrad|30.0%|80.43%|
|resnet|inputgrad|40.0%|78.94%|
|resnet|inputgrad|50.0%|76.16%|
|resnet|inputgrad|60.0%|72.25%|
|resnet|inputgrad|70.0%|68.34%|
|resnet|inputgrad|80.0%|63.48%|
|resnet|inputgrad|90.0%|54.06%|
|resnet|guidedgrad|0.0%|78.76%|
|resnet|guidedgrad|10.0%|71.91%|
|resnet|guidedgrad|20.0%|71.90%|
|resnet|guidedgrad|30.0%|72.20%|
|resnet|guidedgrad|40.0%|72.03%|
|resnet|guidedgrad|50.0%|71.42%|
|resnet|guidedgrad|60.0%|70.38%|
|resnet|guidedgrad|70.0%|69.59%|
|resnet|guidedgrad|80.0%|68.50%|
|resnet|guidedgrad|90.0%|63.88%|
|resnet|gradcam|0.0%|78.76%|
|resnet|gradcam|10.0%|68.24%|
|resnet|gradcam|20.0%|64.02%|
|resnet|gradcam|30.0%|59.49%|
|resnet|gradcam|40.0%|54.14%|
|resnet|gradcam|50.0%|49.20%|
|resnet|gradcam|60.0%|44.40%|
|resnet|gradcam|70.0%|39.55%|
|resnet|gradcam|80.0%|33.60%|
|resnet|gradcam|90.0%|25.19%|
|resnetcbam|vanillagrad|0.0%|78.18%|
|resnetcbam|vanillagrad|10.0%|72.99%|
|resnetcbam|vanillagrad|20.0%|75.59%|
|resnetcbam|vanillagrad|30.0%|76.79%|
|resnetcbam|vanillagrad|40.0%|76.86%|
|resnetcbam|vanillagrad|50.0%|76.07%|
|resnetcbam|vanillagrad|60.0%|75.07%|
|resnetcbam|vanillagrad|70.0%|73.26%|
|resnetcbam|vanillagrad|80.0%|69.03%|
|resnetcbam|vanillagrad|90.0%|58.96%|
|resnetcbam|inputgrad|0.0%|78.18%|
|resnetcbam|inputgrad|10.0%|78.95%|
|resnetcbam|inputgrad|20.0%|77.18%|
|resnetcbam|inputgrad|30.0%|75.97%|
|resnetcbam|inputgrad|40.0%|73.19%|
|resnetcbam|inputgrad|50.0%|70.21%|
|resnetcbam|inputgrad|60.0%|66.54%|
|resnetcbam|inputgrad|70.0%|62.92%|
|resnetcbam|inputgrad|80.0%|57.07%|
|resnetcbam|inputgrad|90.0%|48.79%|
|resnetcbam|guidedgrad|0.0%|78.18%|
|resnetcbam|guidedgrad|10.0%|72.20%|
|resnetcbam|guidedgrad|20.0%|71.73%|
|resnetcbam|guidedgrad|30.0%|72.51%|
|resnetcbam|guidedgrad|40.0%|71.33%|
|resnetcbam|guidedgrad|50.0%|70.42%|
|resnetcbam|guidedgrad|60.0%|69.99%|
|resnetcbam|guidedgrad|70.0%|69.47%|
|resnetcbam|guidedgrad|80.0%|68.64%|
|resnetcbam|guidedgrad|90.0%|64.09%|
|resnetcbam|gradcam|0.0%|78.18%|
|resnetcbam|gradcam|10.0%|66.97%|
|resnetcbam|gradcam|20.0%|61.11%|
|resnetcbam|gradcam|30.0%|56.48%|
|resnetcbam|gradcam|40.0%|51.57%|
|resnetcbam|gradcam|50.0%|46.67%|
|resnetcbam|gradcam|60.0%|42.05%|
|resnetcbam|gradcam|70.0%|37.01%|
|resnetcbam|gradcam|80.0%|31.45%|
|resnetcbam|gradcam|90.0%|23.94%|
|resnetanr|vanillagrad|0.0%|75.34%|
