| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|vanillagrad|0.0%|73.01%|
|resnet|vanillagrad|10.0%|87.17%|
|resnet|vanillagrad|20.0%|89.44%|
|resnet|vanillagrad|30.0%|91.39%|
|resnet|vanillagrad|40.0%|91.20%|
|resnet|vanillagrad|50.0%|92.02%|
|resnet|vanillagrad|60.0%|91.21%|
|resnet|vanillagrad|70.0%|89.03%|
|resnet|vanillagrad|80.0%|86.68%|
|resnet|vanillagrad|90.0%|77.85%|
|resnet|inputgrad|0.0%|73.01%|
|resnet|inputgrad|10.0%|84.25%|
|resnet|inputgrad|20.0%|85.37%|
|resnet|inputgrad|30.0%|85.03%|
|resnet|inputgrad|40.0%|85.22%|
|resnet|inputgrad|50.0%|84.40%|
|resnet|inputgrad|60.0%|80.61%|
|resnet|inputgrad|70.0%|77.50%|
|resnet|inputgrad|80.0%|71.90%|
|resnet|inputgrad|90.0%|63.36%|
|resnet|guidedgrad|0.0%|73.01%|
|resnet|guidedgrad|10.0%|74.38%|
|resnet|guidedgrad|20.0%|76.65%|
|resnet|guidedgrad|30.0%|77.11%|
|resnet|guidedgrad|40.0%|76.98%|
|resnet|guidedgrad|50.0%|76.29%|
|resnet|guidedgrad|60.0%|76.02%|
|resnet|guidedgrad|70.0%|76.46%|
|resnet|guidedgrad|80.0%|74.13%|
|resnet|guidedgrad|90.0%|68.61%|
|resnet|gradcam|0.0%|73.01%|
|resnet|gradcam|10.0%|65.59%|
|resnet|gradcam|20.0%|61.74%|
|resnet|gradcam|30.0%|57.39%|
|resnet|gradcam|40.0%|53.28%|
|resnet|gradcam|50.0%|49.61%|
|resnet|gradcam|60.0%|44.69%|
|resnet|gradcam|70.0%|39.35%|
|resnet|gradcam|80.0%|34.82%|
|resnet|gradcam|90.0%|26.97%|
|resnetcbam|vanillagrad|0.0%|71.43%|
|resnetcbam|vanillagrad|10.0%|77.07%|
|resnetcbam|vanillagrad|20.0%|81.55%|
|resnetcbam|vanillagrad|30.0%|81.93%|
|resnetcbam|vanillagrad|40.0%|81.62%|
|resnetcbam|vanillagrad|50.0%|81.27%|
|resnetcbam|vanillagrad|60.0%|80.73%|
|resnetcbam|vanillagrad|70.0%|79.29%|
|resnetcbam|vanillagrad|80.0%|76.08%|
|resnetcbam|vanillagrad|90.0%|66.93%|
|resnetcbam|inputgrad|0.0%|71.43%|
|resnetcbam|inputgrad|10.0%|77.21%|
|resnetcbam|inputgrad|20.0%|76.75%|
|resnetcbam|inputgrad|30.0%|75.67%|
|resnetcbam|inputgrad|40.0%|73.71%|
|resnetcbam|inputgrad|50.0%|71.90%|
|resnetcbam|inputgrad|60.0%|69.67%|
|resnetcbam|inputgrad|70.0%|65.72%|
|resnetcbam|inputgrad|80.0%|61.45%|
|resnetcbam|inputgrad|90.0%|53.32%|
|resnetcbam|guidedgrad|0.0%|71.43%|
|resnetcbam|guidedgrad|10.0%|72.63%|
|resnetcbam|guidedgrad|20.0%|75.21%|
|resnetcbam|guidedgrad|30.0%|75.35%|
|resnetcbam|guidedgrad|40.0%|74.87%|
|resnetcbam|guidedgrad|50.0%|73.84%|
|resnetcbam|guidedgrad|60.0%|74.07%|
|resnetcbam|guidedgrad|70.0%|73.28%|
|resnetcbam|guidedgrad|80.0%|71.57%|
|resnetcbam|guidedgrad|90.0%|66.50%|
|resnetcbam|gradcam|0.0%|71.43%|
|resnetcbam|gradcam|10.0%|63.47%|
|resnetcbam|gradcam|20.0%|58.68%|
|resnetcbam|gradcam|30.0%|54.52%|
|resnetcbam|gradcam|40.0%|49.35%|
|resnetcbam|gradcam|50.0%|45.13%|
|resnetcbam|gradcam|60.0%|40.60%|
|resnetcbam|gradcam|70.0%|34.91%|
|resnetcbam|gradcam|80.0%|29.52%|
|resnetcbam|gradcam|90.0%|22.39%|
|resnetanr|vanillagrad|0.0%|72.37%|
