| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|random|0.0%|74.96%|
|resnet|random|10.0%|65.60%|
|resnet|random|20.0%|62.37%|
|resnet|random|30.0%|56.79%|
|resnet|random|40.0%|54.08%|
|resnet|random|50.0%|51.26%|
|resnet|random|60.0%|49.99%|
|resnet|random|70.0%|45.89%|
|resnet|random|80.0%|44.07%|
|resnet|random|90.0%|38.14%|
|resnet|vanillagrad|0.0%|74.96%|
|resnet|vanillagrad|10.0%|69.81%|
|resnet|vanillagrad|20.0%|66.33%|
|resnet|vanillagrad|30.0%|64.50%|
|resnet|vanillagrad|40.0%|62.09%|
|resnet|vanillagrad|50.0%|59.57%|
|resnet|vanillagrad|60.0%|55.76%|
|resnet|vanillagrad|70.0%|52.88%|
|resnet|vanillagrad|80.0%|50.03%|
|resnet|vanillagrad|90.0%|41.65%|
|resnet|inputgrad|0.0%|74.96%|
|resnet|inputgrad|10.0%|67.23%|
|resnet|inputgrad|20.0%|63.64%|
|resnet|inputgrad|30.0%|60.64%|
|resnet|inputgrad|40.0%|58.17%|
|resnet|inputgrad|50.0%|55.53%|
|resnet|inputgrad|60.0%|52.72%|
|resnet|inputgrad|70.0%|48.00%|
|resnet|inputgrad|80.0%|45.31%|
|resnet|inputgrad|90.0%|35.46%|
|resnet|guidedgrad|0.0%|74.96%|
|resnet|guidedgrad|10.0%|75.10%|
|resnet|guidedgrad|20.0%|74.40%|
|resnet|guidedgrad|30.0%|74.42%|
|resnet|guidedgrad|40.0%|72.51%|
|resnet|guidedgrad|50.0%|69.28%|
|resnet|guidedgrad|60.0%|64.27%|
|resnet|guidedgrad|70.0%|62.22%|
|resnet|guidedgrad|80.0%|55.29%|
|resnet|guidedgrad|90.0%|47.06%|
|resnet|gradcam|0.0%|74.96%|
|resnet|gradcam|10.0%|71.02%|
|resnet|gradcam|20.0%|71.67%|
|resnet|gradcam|30.0%|69.52%|
|resnet|gradcam|40.0%|66.50%|
|resnet|gradcam|50.0%|64.87%|
|resnet|gradcam|60.0%|61.37%|
|resnet|gradcam|70.0%|58.38%|
|resnet|gradcam|80.0%|54.07%|
|resnet|gradcam|90.0%|44.27%|
|resnetcbam|random|0.0%|71.22%|
|resnetcbam|random|10.0%|61.82%|
|resnetcbam|random|20.0%|57.41%|
|resnetcbam|random|30.0%|53.55%|
|resnetcbam|random|40.0%|50.61%|
|resnetcbam|random|50.0%|47.42%|
|resnetcbam|random|60.0%|45.41%|
|resnetcbam|random|70.0%|42.86%|
|resnetcbam|random|80.0%|40.10%|
|resnetcbam|random|90.0%|37.03%|
|resnetcbam|vanillagrad|0.0%|71.22%|
|resnetcbam|vanillagrad|10.0%|59.83%|
|resnetcbam|vanillagrad|20.0%|56.57%|
|resnetcbam|vanillagrad|30.0%|52.36%|
|resnetcbam|vanillagrad|40.0%|50.64%|
|resnetcbam|vanillagrad|50.0%|47.50%|
|resnetcbam|vanillagrad|60.0%|44.56%|
|resnetcbam|vanillagrad|70.0%|42.42%|
|resnetcbam|vanillagrad|80.0%|39.87%|
|resnetcbam|vanillagrad|90.0%|36.55%|
|resnetcbam|inputgrad|0.0%|71.22%|
|resnetcbam|inputgrad|10.0%|60.04%|
|resnetcbam|inputgrad|20.0%|55.89%|
|resnetcbam|inputgrad|30.0%|52.92%|
|resnetcbam|inputgrad|40.0%|49.52%|
|resnetcbam|inputgrad|50.0%|47.78%|
|resnetcbam|inputgrad|60.0%|45.84%|
|resnetcbam|inputgrad|70.0%|44.98%|
|resnetcbam|inputgrad|80.0%|40.82%|
|resnetcbam|inputgrad|90.0%|31.32%|
|resnetcbam|guidedgrad|0.0%|71.22%|
|resnetcbam|guidedgrad|10.0%|68.62%|
|resnetcbam|guidedgrad|20.0%|68.70%|
|resnetcbam|guidedgrad|30.0%|67.65%|
|resnetcbam|guidedgrad|40.0%|65.44%|
|resnetcbam|guidedgrad|50.0%|61.92%|
|resnetcbam|guidedgrad|60.0%|58.57%|
|resnetcbam|guidedgrad|70.0%|54.76%|
|resnetcbam|guidedgrad|80.0%|49.12%|
|resnetcbam|guidedgrad|90.0%|40.21%|
|resnetcbam|gradcam|0.0%|71.22%|
|resnetcbam|gradcam|10.0%|66.40%|
|resnetcbam|gradcam|20.0%|62.75%|
|resnetcbam|gradcam|30.0%|58.86%|
|resnetcbam|gradcam|40.0%|56.14%|
|resnetcbam|gradcam|50.0%|53.44%|
|resnetcbam|gradcam|60.0%|50.88%|
|resnetcbam|gradcam|70.0%|49.06%|
|resnetcbam|gradcam|80.0%|42.97%|
|resnetcbam|gradcam|90.0%|37.00%|
|resnetanr|random|0.0%|76.07%|
|resnetanr|random|10.0%|66.14%|
|resnetanr|random|20.0%|62.92%|
|resnetanr|random|30.0%|60.35%|
|resnetanr|random|40.0%|58.03%|
|resnetanr|random|50.0%|56.41%|
|resnetanr|random|60.0%|53.62%|
|resnetanr|random|70.0%|52.06%|
|resnetanr|random|80.0%|50.34%|
|resnetanr|random|90.0%|44.97%|
