| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|random|0.0%|74.96%|
|resnet|random|10.0%|71.31%|
|resnet|random|20.0%|69.43%|
|resnet|random|30.0%|66.23%|
|resnet|random|40.0%|63.00%|
|resnet|random|50.0%|61.59%|
|resnet|random|60.0%|58.04%|
|resnet|random|70.0%|55.07%|
|resnet|random|80.0%|50.24%|
|resnet|random|90.0%|44.79%|
|resnet|vanillagrad|0.0%|74.96%|
|resnet|vanillagrad|10.0%|71.92%|
|resnet|vanillagrad|20.0%|69.45%|
|resnet|vanillagrad|30.0%|68.32%|
|resnet|vanillagrad|40.0%|65.40%|
|resnet|vanillagrad|50.0%|64.49%|
|resnet|vanillagrad|60.0%|60.82%|
|resnet|vanillagrad|70.0%|56.71%|
|resnet|vanillagrad|80.0%|52.19%|
|resnet|vanillagrad|90.0%|45.75%|
|resnet|inputgrad|0.0%|74.96%|
|resnet|inputgrad|10.0%|68.84%|
|resnet|inputgrad|20.0%|66.23%|
|resnet|inputgrad|30.0%|64.03%|
|resnet|inputgrad|40.0%|59.86%|
|resnet|inputgrad|50.0%|57.41%|
|resnet|inputgrad|60.0%|54.99%|
|resnet|inputgrad|70.0%|48.96%|
|resnet|inputgrad|80.0%|43.82%|
|resnet|inputgrad|90.0%|38.50%|
|resnet|guidedgrad|0.0%|74.96%|
|resnet|guidedgrad|10.0%|74.68%|
|resnet|guidedgrad|20.0%|73.37%|
|resnet|guidedgrad|30.0%|72.03%|
|resnet|guidedgrad|40.0%|71.87%|
|resnet|guidedgrad|50.0%|69.21%|
|resnet|guidedgrad|60.0%|66.67%|
|resnet|guidedgrad|70.0%|60.92%|
|resnet|guidedgrad|80.0%|54.98%|
|resnet|guidedgrad|90.0%|47.76%|
|resnet|gradcam|0.0%|74.96%|
|resnet|gradcam|10.0%|73.94%|
|resnet|gradcam|20.0%|72.71%|
|resnet|gradcam|30.0%|71.77%|
|resnet|gradcam|40.0%|69.87%|
|resnet|gradcam|50.0%|67.38%|
|resnet|gradcam|60.0%|65.13%|
|resnet|gradcam|70.0%|62.56%|
|resnet|gradcam|80.0%|59.26%|
|resnet|gradcam|90.0%|53.37%|
|resnetcbam|random|0.0%|71.22%|
|resnetcbam|random|10.0%|66.50%|
|resnetcbam|random|20.0%|65.16%|
|resnetcbam|random|30.0%|62.10%|
|resnetcbam|random|40.0%|60.18%|
|resnetcbam|random|50.0%|58.23%|
|resnetcbam|random|60.0%|55.00%|
|resnetcbam|random|70.0%|51.78%|
|resnetcbam|random|80.0%|47.01%|
|resnetcbam|random|90.0%|42.21%|
|resnetcbam|vanillagrad|0.0%|71.22%|
|resnetcbam|vanillagrad|10.0%|65.82%|
|resnetcbam|vanillagrad|20.0%|62.07%|
|resnetcbam|vanillagrad|30.0%|60.14%|
|resnetcbam|vanillagrad|40.0%|55.92%|
|resnetcbam|vanillagrad|50.0%|54.05%|
|resnetcbam|vanillagrad|60.0%|52.83%|
|resnetcbam|vanillagrad|70.0%|48.35%|
|resnetcbam|vanillagrad|80.0%|46.07%|
|resnetcbam|vanillagrad|90.0%|39.34%|
|resnetcbam|inputgrad|0.0%|71.22%|
|resnetcbam|inputgrad|10.0%|62.81%|
|resnetcbam|inputgrad|20.0%|58.29%|
|resnetcbam|inputgrad|30.0%|54.81%|
|resnetcbam|inputgrad|40.0%|51.12%|
|resnetcbam|inputgrad|50.0%|49.84%|
|resnetcbam|inputgrad|60.0%|46.38%|
|resnetcbam|inputgrad|70.0%|43.72%|
|resnetcbam|inputgrad|80.0%|39.81%|
|resnetcbam|inputgrad|90.0%|35.60%|
|resnetcbam|guidedgrad|0.0%|71.22%|
|resnetcbam|guidedgrad|10.0%|64.50%|
|resnetcbam|guidedgrad|20.0%|65.26%|
|resnetcbam|guidedgrad|30.0%|65.11%|
|resnetcbam|guidedgrad|40.0%|63.02%|
|resnetcbam|guidedgrad|50.0%|61.65%|
|resnetcbam|guidedgrad|60.0%|57.97%|
|resnetcbam|guidedgrad|70.0%|52.72%|
|resnetcbam|guidedgrad|80.0%|48.62%|
|resnetcbam|guidedgrad|90.0%|42.50%|
|resnetcbam|gradcam|0.0%|71.22%|
|resnetcbam|gradcam|10.0%|68.24%|
|resnetcbam|gradcam|20.0%|65.56%|
|resnetcbam|gradcam|30.0%|61.87%|
|resnetcbam|gradcam|40.0%|59.48%|
|resnetcbam|gradcam|50.0%|58.82%|
|resnetcbam|gradcam|60.0%|54.48%|
|resnetcbam|gradcam|70.0%|51.46%|
|resnetcbam|gradcam|80.0%|48.73%|
|resnetcbam|gradcam|90.0%|40.91%|
|resnetanr|random|0.0%|76.07%|
|resnetanr|random|10.0%|72.04%|
|resnetanr|random|20.0%|68.22%|
|resnetanr|random|30.0%|65.57%|
|resnetanr|random|40.0%|63.85%|
|resnetanr|random|50.0%|61.34%|
|resnetanr|random|60.0%|58.14%|
|resnetanr|random|70.0%|54.90%|
|resnetanr|random|80.0%|53.06%|
|resnetanr|random|90.0%|46.86%|
