| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|random|0.0%|74.96%|
|resnet|random|10.0%|65.87%|
|resnet|random|20.0%|61.00%|
|resnet|random|30.0%|56.97%|
|resnet|random|40.0%|53.43%|
|resnet|random|50.0%|51.62%|
|resnet|random|60.0%|49.63%|
|resnet|random|70.0%|45.26%|
|resnet|random|80.0%|43.90%|
|resnet|random|90.0%|40.22%|
|resnet|vanillagrad|0.0%|74.96%|
|resnet|vanillagrad|10.0%|70.34%|
|resnet|vanillagrad|20.0%|67.40%|
|resnet|vanillagrad|30.0%|64.04%|
|resnet|vanillagrad|40.0%|62.63%|
|resnet|vanillagrad|50.0%|59.44%|
|resnet|vanillagrad|60.0%|57.52%|
|resnet|vanillagrad|70.0%|52.76%|
|resnet|vanillagrad|80.0%|49.29%|
|resnet|vanillagrad|90.0%|44.52%|
|resnet|inputgrad|0.0%|74.96%|
|resnet|inputgrad|10.0%|67.20%|
|resnet|inputgrad|20.0%|63.82%|
|resnet|inputgrad|30.0%|61.78%|
|resnet|inputgrad|40.0%|58.94%|
|resnet|inputgrad|50.0%|56.30%|
|resnet|inputgrad|60.0%|52.83%|
|resnet|inputgrad|70.0%|48.51%|
|resnet|inputgrad|80.0%|42.90%|
|resnet|inputgrad|90.0%|35.18%|
|resnet|guidedgrad|0.0%|74.96%|
|resnet|guidedgrad|10.0%|75.12%|
|resnet|guidedgrad|20.0%|74.96%|
|resnet|guidedgrad|30.0%|72.57%|
|resnet|guidedgrad|40.0%|70.94%|
|resnet|guidedgrad|50.0%|71.25%|
|resnet|guidedgrad|60.0%|67.36%|
|resnet|guidedgrad|70.0%|61.20%|
|resnet|guidedgrad|80.0%|55.50%|
|resnet|guidedgrad|90.0%|49.66%|
|resnet|gradcam|0.0%|74.96%|
|resnet|gradcam|10.0%|71.82%|
|resnet|gradcam|20.0%|70.12%|
|resnet|gradcam|30.0%|67.61%|
|resnet|gradcam|40.0%|67.71%|
|resnet|gradcam|50.0%|63.80%|
|resnet|gradcam|60.0%|62.65%|
|resnet|gradcam|70.0%|59.22%|
|resnet|gradcam|80.0%|53.77%|
|resnet|gradcam|90.0%|46.61%|
|resnetcbam|random|0.0%|71.22%|
|resnetcbam|random|10.0%|61.22%|
|resnetcbam|random|20.0%|58.13%|
|resnetcbam|random|30.0%|53.85%|
|resnetcbam|random|40.0%|50.85%|
|resnetcbam|random|50.0%|49.52%|
|resnetcbam|random|60.0%|45.96%|
|resnetcbam|random|70.0%|43.22%|
|resnetcbam|random|80.0%|41.42%|
|resnetcbam|random|90.0%|37.84%|
|resnetcbam|vanillagrad|0.0%|71.22%|
|resnetcbam|vanillagrad|10.0%|60.45%|
|resnetcbam|vanillagrad|20.0%|54.41%|
|resnetcbam|vanillagrad|30.0%|51.42%|
|resnetcbam|vanillagrad|40.0%|50.67%|
|resnetcbam|vanillagrad|50.0%|46.11%|
|resnetcbam|vanillagrad|60.0%|43.32%|
|resnetcbam|vanillagrad|70.0%|44.24%|
|resnetcbam|vanillagrad|80.0%|39.72%|
|resnetcbam|vanillagrad|90.0%|35.16%|
|resnetcbam|inputgrad|0.0%|71.22%|
|resnetcbam|inputgrad|10.0%|59.47%|
|resnetcbam|inputgrad|20.0%|54.23%|
|resnetcbam|inputgrad|30.0%|52.54%|
|resnetcbam|inputgrad|40.0%|48.96%|
|resnetcbam|inputgrad|50.0%|46.97%|
|resnetcbam|inputgrad|60.0%|45.15%|
|resnetcbam|inputgrad|70.0%|43.36%|
|resnetcbam|inputgrad|80.0%|40.12%|
|resnetcbam|inputgrad|90.0%|33.32%|
|resnetcbam|guidedgrad|0.0%|71.22%|
|resnetcbam|guidedgrad|10.0%|67.67%|
|resnetcbam|guidedgrad|20.0%|68.95%|
|resnetcbam|guidedgrad|30.0%|68.03%|
|resnetcbam|guidedgrad|40.0%|65.04%|
|resnetcbam|guidedgrad|50.0%|62.00%|
|resnetcbam|guidedgrad|60.0%|58.45%|
|resnetcbam|guidedgrad|70.0%|54.47%|
|resnetcbam|guidedgrad|80.0%|50.73%|
|resnetcbam|guidedgrad|90.0%|40.87%|
|resnetcbam|gradcam|0.0%|71.22%|
|resnetcbam|gradcam|10.0%|65.73%|
|resnetcbam|gradcam|20.0%|62.32%|
|resnetcbam|gradcam|30.0%|60.21%|
|resnetcbam|gradcam|40.0%|57.12%|
|resnetcbam|gradcam|50.0%|54.01%|
|resnetcbam|gradcam|60.0%|49.59%|
|resnetcbam|gradcam|70.0%|46.85%|
|resnetcbam|gradcam|80.0%|41.70%|
|resnetcbam|gradcam|90.0%|37.23%|
|resnetanr|random|0.0%|76.07%|
|resnetanr|random|10.0%|67.00%|
|resnetanr|random|20.0%|63.07%|
|resnetanr|random|30.0%|59.57%|
|resnetanr|random|40.0%|57.29%|
|resnetanr|random|50.0%|55.40%|
|resnetanr|random|60.0%|52.54%|
|resnetanr|random|70.0%|51.67%|
|resnetanr|random|80.0%|49.21%|
|resnetanr|random|90.0%|47.41%|
