| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|cnn|vanillagrad|0.0%|99.17%|
|cnn|vanillagrad|10.0%|66.53%|
|cnn|vanillagrad|20.0%|72.20%|
|cnn|vanillagrad|30.0%|70.36%|
|cnn|vanillagrad|40.0%|65.67%|
|cnn|vanillagrad|50.0%|61.69%|
|cnn|vanillagrad|60.0%|55.89%|
|cnn|vanillagrad|70.0%|49.61%|
|cnn|vanillagrad|80.0%|43.50%|
|cnn|vanillagrad|90.0%|30.41%|
|cnn|inputgrad|0.0%|99.17%|
|cnn|inputgrad|10.0%|72.07%|
|cnn|inputgrad|20.0%|67.94%|
|cnn|inputgrad|30.0%|61.93%|
|cnn|inputgrad|40.0%|57.90%|
|cnn|inputgrad|50.0%|55.40%|
|cnn|inputgrad|60.0%|52.98%|
|cnn|inputgrad|70.0%|49.83%|
|cnn|inputgrad|80.0%|47.72%|
|cnn|inputgrad|90.0%|45.34%|
|cnn|guidedgrad|0.0%|99.17%|
|cnn|guidedgrad|10.0%|62.22%|
|cnn|guidedgrad|20.0%|62.91%|
|cnn|guidedgrad|30.0%|63.11%|
|cnn|guidedgrad|40.0%|63.54%|
|cnn|guidedgrad|50.0%|62.48%|
|cnn|guidedgrad|60.0%|62.39%|
|cnn|guidedgrad|70.0%|62.27%|
|cnn|guidedgrad|80.0%|62.19%|
|cnn|guidedgrad|90.0%|61.65%|
|cnn|gradcam|0.0%|99.17%|
|cnn|gradcam|10.0%|64.40%|
|cnn|gradcam|20.0%|63.10%|
|cnn|gradcam|30.0%|52.47%|
|cnn|gradcam|40.0%|41.37%|
|cnn|gradcam|50.0%|36.51%|
|cnn|gradcam|60.0%|33.21%|
|cnn|gradcam|70.0%|31.18%|
|cnn|gradcam|80.0%|29.04%|
|cnn|gradcam|90.0%|24.11%|
|cnn|deconv|0.0%|99.17%|
|cnn|deconv|10.0%|61.37%|
|cnn|deconv|20.0%|61.82%|
|cnn|deconv|30.0%|61.63%|
|cnn|deconv|40.0%|60.95%|
|cnn|deconv|50.0%|60.50%|
|cnn|deconv|60.0%|59.94%|
|cnn|deconv|70.0%|59.90%|
|cnn|deconv|80.0%|59.92%|
|cnn|deconv|90.0%|56.34%|
|cnn|relavance|0.0%|99.17%|
|cnn|relavance|10.0%|66.91%|
|cnn|relavance|20.0%|71.78%|
|cnn|relavance|30.0%|66.74%|
|cnn|relavance|40.0%|61.45%|
|cnn|relavance|50.0%|58.13%|
|cnn|relavance|60.0%|54.84%|
|cnn|relavance|70.0%|51.00%|
|cnn|relavance|80.0%|40.95%|
|cnn|relavance|90.0%|29.11%|
