| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|random|0.0%|98.92%|
|resnet|random|10.0%|78.99%|
|resnet|random|20.0%|91.49%|
|resnet|random|30.0%|94.87%|
|resnet|random|40.0%|96.64%|
|resnet|random|50.0%|97.66%|
|resnet|random|60.0%|97.95%|
|resnet|random|70.0%|98.40%|
|resnet|random|80.0%|98.62%|
|resnet|random|90.0%|98.94%|
|resnet|vanillagrad|0.0%|98.92%|
|resnet|vanillagrad|10.0%|95.67%|
|resnet|vanillagrad|20.0%|98.12%|
|resnet|vanillagrad|30.0%|98.64%|
|resnet|vanillagrad|40.0%|98.42%|
|resnet|vanillagrad|50.0%|98.95%|
|resnet|vanillagrad|60.0%|99.01%|
|resnet|vanillagrad|70.0%|98.97%|
|resnet|vanillagrad|80.0%|99.12%|
|resnet|vanillagrad|90.0%|99.12%|
|resnet|inputgrad|0.0%|98.92%|
|resnet|inputgrad|10.0%|98.52%|
|resnet|inputgrad|20.0%|98.96%|
|resnet|inputgrad|30.0%|99.08%|
|resnet|inputgrad|40.0%|99.13%|
|resnet|inputgrad|50.0%|99.19%|
|resnet|inputgrad|60.0%|99.17%|
|resnet|inputgrad|70.0%|99.15%|
|resnet|inputgrad|80.0%|99.14%|
|resnet|inputgrad|90.0%|99.01%|
|resnet|guidedgrad|0.0%|98.92%|
|resnet|guidedgrad|10.0%|98.96%|
|resnet|guidedgrad|20.0%|99.16%|
|resnet|guidedgrad|30.0%|99.14%|
|resnet|guidedgrad|40.0%|99.05%|
|resnet|guidedgrad|50.0%|98.90%|
|resnet|guidedgrad|60.0%|99.18%|
|resnet|guidedgrad|70.0%|99.19%|
|resnet|guidedgrad|80.0%|99.09%|
|resnet|guidedgrad|90.0%|99.23%|
|resnet|gradcam|0.0%|98.92%|
|resnet|gradcam|10.0%|95.63%|
|resnet|gradcam|20.0%|98.09%|
|resnet|gradcam|30.0%|98.65%|
|resnet|gradcam|40.0%|98.83%|
|resnet|gradcam|50.0%|98.93%|
|resnet|gradcam|60.0%|98.95%|
|resnet|gradcam|70.0%|99.08%|
|resnet|gradcam|80.0%|99.03%|
|resnet|gradcam|90.0%|99.17%|
|resnetcbam|random|0.0%|98.82%|
|resnetcbam|random|10.0%|78.27%|
|resnetcbam|random|20.0%|91.30%|
|resnetcbam|random|30.0%|94.08%|
|resnetcbam|random|40.0%|96.57%|
|resnetcbam|random|50.0%|97.25%|
|resnetcbam|random|60.0%|97.87%|
|resnetcbam|random|70.0%|98.13%|
|resnetcbam|random|80.0%|98.48%|
|resnetcbam|random|90.0%|98.84%|
|resnetcbam|vanillagrad|0.0%|98.82%|
|resnetcbam|vanillagrad|10.0%|96.19%|
|resnetcbam|vanillagrad|20.0%|97.78%|
|resnetcbam|vanillagrad|30.0%|98.38%|
|resnetcbam|vanillagrad|40.0%|98.41%|
|resnetcbam|vanillagrad|50.0%|98.63%|
|resnetcbam|vanillagrad|60.0%|98.85%|
|resnetcbam|vanillagrad|70.0%|98.90%|
|resnetcbam|vanillagrad|80.0%|98.82%|
|resnetcbam|vanillagrad|90.0%|98.97%|
|resnetcbam|inputgrad|0.0%|98.82%|
|resnetcbam|inputgrad|10.0%|98.55%|
|resnetcbam|inputgrad|20.0%|98.55%|
|resnetcbam|inputgrad|30.0%|99.09%|
|resnetcbam|inputgrad|40.0%|98.80%|
|resnetcbam|inputgrad|50.0%|99.04%|
|resnetcbam|inputgrad|60.0%|99.02%|
|resnetcbam|inputgrad|70.0%|98.88%|
|resnetcbam|inputgrad|80.0%|99.09%|
|resnetcbam|inputgrad|90.0%|99.01%|
|resnetcbam|guidedgrad|0.0%|98.82%|
|resnetcbam|guidedgrad|10.0%|99.00%|
|resnetcbam|guidedgrad|20.0%|99.05%|
|resnetcbam|guidedgrad|30.0%|99.06%|
|resnetcbam|guidedgrad|40.0%|99.13%|
|resnetcbam|guidedgrad|50.0%|99.01%|
|resnetcbam|guidedgrad|60.0%|99.12%|
|resnetcbam|guidedgrad|70.0%|98.83%|
|resnetcbam|guidedgrad|80.0%|98.99%|
|resnetcbam|guidedgrad|90.0%|98.84%|
|resnetcbam|gradcam|0.0%|98.82%|
|resnetcbam|gradcam|10.0%|91.97%|
