| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|vanillagrad|0.0%|98.95%|
|resnet|vanillagrad|10.0%|98.69%|
|resnet|vanillagrad|20.0%|98.52%|
|resnet|vanillagrad|30.0%|98.18%|
|resnet|vanillagrad|40.0%|97.68%|
|resnet|vanillagrad|50.0%|97.98%|
|resnet|vanillagrad|60.0%|97.81%|
|resnet|vanillagrad|70.0%|97.69%|
|resnet|vanillagrad|80.0%|96.88%|
|resnet|vanillagrad|90.0%|94.45%|
|resnet|inputgrad|0.0%|98.95%|
|resnet|inputgrad|10.0%|97.60%|
|resnet|inputgrad|20.0%|97.98%|
|resnet|inputgrad|30.0%|97.82%|
|resnet|inputgrad|40.0%|98.00%|
|resnet|inputgrad|50.0%|97.84%|
|resnet|inputgrad|60.0%|97.70%|
|resnet|inputgrad|70.0%|97.68%|
|resnet|inputgrad|80.0%|97.59%|
|resnet|inputgrad|90.0%|97.56%|
|resnet|guidedgrad|0.0%|98.95%|
|resnet|guidedgrad|10.0%|96.52%|
|resnet|guidedgrad|20.0%|93.87%|
|resnet|guidedgrad|30.0%|93.80%|
|resnet|guidedgrad|40.0%|93.14%|
|resnet|guidedgrad|50.0%|93.21%|
|resnet|guidedgrad|60.0%|91.58%|
|resnet|guidedgrad|70.0%|90.10%|
|resnet|guidedgrad|80.0%|85.67%|
|resnet|guidedgrad|90.0%|72.12%|
|resnet|gradcam|0.0%|98.95%|
|resnet|gradcam|10.0%|98.58%|
|resnet|gradcam|20.0%|98.14%|
|resnet|gradcam|30.0%|96.81%|
|resnet|gradcam|40.0%|93.40%|
|resnet|gradcam|50.0%|84.64%|
|resnet|gradcam|60.0%|72.91%|
|resnet|gradcam|70.0%|61.14%|
|resnet|gradcam|80.0%|49.19%|
|resnet|gradcam|90.0%|36.82%|
|resnetcbam|vanillagrad|0.0%|99.09%|
|resnetcbam|vanillagrad|10.0%|98.58%|
|resnetcbam|vanillagrad|20.0%|98.61%|
|resnetcbam|vanillagrad|30.0%|98.23%|
|resnetcbam|vanillagrad|40.0%|98.21%|
|resnetcbam|vanillagrad|50.0%|97.89%|
|resnetcbam|vanillagrad|60.0%|98.13%|
|resnetcbam|vanillagrad|70.0%|97.60%|
|resnetcbam|vanillagrad|80.0%|96.87%|
|resnetcbam|vanillagrad|90.0%|94.56%|
|resnetcbam|inputgrad|0.0%|99.09%|
|resnetcbam|inputgrad|10.0%|98.05%|
|resnetcbam|inputgrad|20.0%|97.67%|
|resnetcbam|inputgrad|30.0%|98.19%|
|resnetcbam|inputgrad|40.0%|97.88%|
|resnetcbam|inputgrad|50.0%|98.00%|
|resnetcbam|inputgrad|60.0%|98.10%|
|resnetcbam|inputgrad|70.0%|97.82%|
|resnetcbam|inputgrad|80.0%|97.86%|
|resnetcbam|inputgrad|90.0%|98.11%|
|resnetcbam|guidedgrad|0.0%|99.09%|
|resnetcbam|guidedgrad|10.0%|96.39%|
|resnetcbam|guidedgrad|20.0%|93.56%|
|resnetcbam|guidedgrad|30.0%|93.35%|
|resnetcbam|guidedgrad|40.0%|93.13%|
|resnetcbam|guidedgrad|50.0%|92.53%|
|resnetcbam|guidedgrad|60.0%|92.58%|
|resnetcbam|guidedgrad|70.0%|89.46%|
|resnetcbam|guidedgrad|80.0%|84.93%|
|resnetcbam|guidedgrad|90.0%|72.98%|
|resnetcbam|gradcam|0.0%|99.09%|
|resnetcbam|gradcam|10.0%|97.52%|
|resnetcbam|gradcam|20.0%|94.95%|
|resnetcbam|gradcam|30.0%|90.24%|
|resnetcbam|gradcam|40.0%|80.67%|
|resnetcbam|gradcam|50.0%|65.27%|
|resnetcbam|gradcam|60.0%|55.64%|
|resnetcbam|gradcam|70.0%|47.61%|
|resnetcbam|gradcam|80.0%|43.24%|
|resnetcbam|gradcam|90.0%|38.16%|
|resnetanr|vanillagrad|0.0%|98.91%|
|resnetanr|vanillagrad|10.0%|98.80%|
|resnetanr|vanillagrad|20.0%|98.71%|
|resnetanr|vanillagrad|30.0%|98.41%|
|resnetanr|vanillagrad|40.0%|98.17%|
|resnetanr|vanillagrad|50.0%|97.83%|
|resnetanr|vanillagrad|60.0%|97.76%|
|resnetanr|vanillagrad|70.0%|97.20%|
|resnetanr|vanillagrad|80.0%|95.56%|
|resnetanr|vanillagrad|90.0%|92.43%|
|resnetanr|inputgrad|0.0%|98.91%|
|resnetanr|inputgrad|10.0%|97.79%|
|resnetanr|inputgrad|20.0%|98.01%|
|resnetanr|inputgrad|30.0%|97.98%|
|resnetanr|inputgrad|40.0%|97.92%|
|resnetanr|inputgrad|50.0%|97.28%|
|resnetanr|inputgrad|60.0%|97.71%|
|resnetanr|inputgrad|70.0%|97.72%|
|resnetanr|inputgrad|80.0%|98.04%|
|resnetanr|inputgrad|90.0%|97.31%|
|resnetanr|guidedgrad|0.0%|98.91%|
|resnetanr|guidedgrad|10.0%|96.55%|
|resnetanr|guidedgrad|20.0%|90.11%|
|resnetanr|guidedgrad|30.0%|88.39%|
|resnetanr|guidedgrad|40.0%|86.30%|
|resnetanr|guidedgrad|50.0%|84.48%|
|resnetanr|guidedgrad|60.0%|81.46%|
|resnetanr|guidedgrad|70.0%|76.89%|
|resnetanr|guidedgrad|80.0%|69.05%|
|resnetanr|guidedgrad|90.0%|55.09%|
|resnetanr|gradcam|0.0%|98.91%|
|resnetanr|gradcam|10.0%|98.06%|
|resnetanr|gradcam|20.0%|97.11%|
|resnetanr|gradcam|30.0%|95.89%|
|resnetanr|gradcam|40.0%|93.26%|
|resnetanr|gradcam|50.0%|87.26%|
|resnetanr|gradcam|60.0%|80.12%|
|resnetanr|gradcam|70.0%|67.96%|
|resnetanr|gradcam|80.0%|53.34%|
|resnetanr|gradcam|90.0%|36.94%|
