| model_type | attr_method_type | deleted_percentages | best_acc |
|--|--|--|--|
|resnet|random|0.0%|98.92%|
|resnet|random|10.0%|98.90%|
|resnet|random|20.0%|98.71%|
|resnet|random|30.0%|98.31%|
|resnet|random|40.0%|98.05%|
|resnet|random|50.0%|97.70%|
|resnet|random|60.0%|96.57%|
|resnet|random|70.0%|94.85%|
|resnet|random|80.0%|91.45%|
|resnet|random|90.0%|79.05%|
|resnet|vanillagrad|0.0%|98.92%|
|resnet|vanillagrad|10.0%|98.35%|
|resnet|vanillagrad|20.0%|97.35%|
|resnet|vanillagrad|30.0%|95.70%|
|resnet|vanillagrad|40.0%|94.09%|
|resnet|vanillagrad|50.0%|90.74%|
|resnet|vanillagrad|60.0%|85.46%|
|resnet|vanillagrad|70.0%|77.20%|
|resnet|vanillagrad|80.0%|63.96%|
|resnet|vanillagrad|90.0%|42.67%|
|resnet|inputgrad|0.0%|98.92%|
|resnet|inputgrad|10.0%|94.41%|
|resnet|inputgrad|20.0%|60.74%|
|resnet|inputgrad|30.0%|46.03%|
|resnet|inputgrad|40.0%|44.58%|
|resnet|inputgrad|50.0%|41.74%|
|resnet|inputgrad|60.0%|35.70%|
|resnet|inputgrad|70.0%|32.34%|
|resnet|inputgrad|80.0%|30.39%|
|resnet|inputgrad|90.0%|24.14%|
|resnet|guidedgrad|0.0%|98.92%|
|resnet|guidedgrad|10.0%|98.46%|
|resnet|guidedgrad|20.0%|97.65%|
|resnet|guidedgrad|30.0%|96.06%|
|resnet|guidedgrad|40.0%|92.37%|
|resnet|guidedgrad|50.0%|86.66%|
|resnet|guidedgrad|60.0%|78.30%|
|resnet|guidedgrad|70.0%|66.37%|
|resnet|guidedgrad|80.0%|51.77%|
|resnet|guidedgrad|90.0%|32.77%|
|resnet|gradcam|0.0%|98.92%|
|resnet|gradcam|10.0%|98.23%|
|resnet|gradcam|20.0%|98.14%|
|resnet|gradcam|30.0%|97.06%|
|resnet|gradcam|40.0%|95.32%|
|resnet|gradcam|50.0%|92.03%|
|resnet|gradcam|60.0%|87.31%|
|resnet|gradcam|70.0%|82.09%|
|resnet|gradcam|80.0%|76.73%|
|resnet|gradcam|90.0%|69.80%|
|resnetcbam|random|0.0%|98.82%|
|resnetcbam|random|10.0%|98.65%|
|resnetcbam|random|20.0%|98.25%|
|resnetcbam|random|30.0%|97.96%|
|resnetcbam|random|40.0%|97.43%|
|resnetcbam|random|50.0%|97.16%|
|resnetcbam|random|60.0%|96.12%|
|resnetcbam|random|70.0%|94.33%|
|resnetcbam|random|80.0%|90.37%|
|resnetcbam|random|90.0%|78.57%|
|resnetcbam|vanillagrad|0.0%|98.82%|
|resnetcbam|vanillagrad|10.0%|97.93%|
|resnetcbam|vanillagrad|20.0%|97.19%|
|resnetcbam|vanillagrad|30.0%|95.67%|
|resnetcbam|vanillagrad|40.0%|93.31%|
|resnetcbam|vanillagrad|50.0%|89.03%|
|resnetcbam|vanillagrad|60.0%|86.45%|
|resnetcbam|vanillagrad|70.0%|76.72%|
|resnetcbam|vanillagrad|80.0%|65.04%|
|resnetcbam|vanillagrad|90.0%|43.88%|
|resnetcbam|inputgrad|0.0%|98.82%|
|resnetcbam|inputgrad|10.0%|93.75%|
|resnetcbam|inputgrad|20.0%|62.07%|
|resnetcbam|inputgrad|30.0%|49.23%|
|resnetcbam|inputgrad|40.0%|45.39%|
|resnetcbam|inputgrad|50.0%|41.67%|
|resnetcbam|inputgrad|60.0%|36.11%|
|resnetcbam|inputgrad|70.0%|32.49%|
|resnetcbam|inputgrad|80.0%|30.68%|
|resnetcbam|inputgrad|90.0%|24.03%|
|resnetcbam|guidedgrad|0.0%|98.82%|
|resnetcbam|guidedgrad|10.0%|98.37%|
|resnetcbam|guidedgrad|20.0%|97.44%|
|resnetcbam|guidedgrad|30.0%|95.94%|
|resnetcbam|guidedgrad|40.0%|92.11%|
|resnetcbam|guidedgrad|50.0%|85.56%|
|resnetcbam|guidedgrad|60.0%|75.70%|
|resnetcbam|guidedgrad|70.0%|62.83%|
|resnetcbam|guidedgrad|80.0%|49.05%|
|resnetcbam|guidedgrad|90.0%|31.44%|
|resnetcbam|gradcam|0.0%|98.82%|
|resnetcbam|gradcam|10.0%|98.15%|
